2026-08-17 01:22:22,856 | DEBUG    | main:744 |   Processed 20/32 in batch 9
2026-08-17 01:22:22,856 | DEBUG    | main:744 |   Processed 25/32 in batch 9
2026-08-17 01:22:22,857 | DEBUG    | main:744 |   Processed 30/32 in batch 9
2026-08-17 01:22:22,857 | INFO     | main:670 | Processing batch 10/282 (32 profiles)...
2026-08-17 01:23:05,967 | DEBUG    | main:744 |   Processed 5/32 in batch 10
2026-08-17 01:23:05,968 | DEBUG    | main:744 |   Processed 10/32 in batch 10
2026-08-17 01:23:05,968 | DEBUG    | main:744 |   Processed 15/32 in batch 10
2026-08-17 01:23:05,969 | DEBUG    | main:744 |   Processed 20/32 in batch 10
2026-08-17 01:23:05,969 | DEBUG    | main:744 |   Processed 25/32 in batch 10
2026-08-17 01:23:05,969 | DEBUG    | main:744 |   Processed 30/32 in batch 10
2026-08-17 01:23:05,969 | INFO     | main:670 | Processing batch 11/282 (32 profiles)...
2026-08-17 01:23:49,113 | DEBUG    | main:744 |   Processed 5/32 in batch 11
2026-08-17 01:23:49,114 | DEBUG    | main:744 |   Processed 10/32 in batch 11
2026-08-17 01:23:49,114 | DEBUG    | main:744 |   Processed 15/32 in batch 11
2026-08-17 01:23:49,114 | DEBUG    | main:744 |   Processed 20/32 in batch 11
2026-08-17 01:23:49,115 | DEBUG    | main:744 |   Processed 25/32 in batch 11
2026-08-17 01:23:49,115 | DEBUG    | main:744 |   Processed 30/32 in batch 11
2026-08-17 01:23:49,115 | INFO     | main:670 | Processing batch 12/282 (32 profiles)...
2026-08-17 01:24:32,221 | DEBUG    | main:744 |   Processed 5/32 in batch 12
2026-08-17 01:24:32,221 | DEBUG    | main:744 |   Processed 10/32 in batch 12
2026-08-17 01:24:32,222 | DEBUG    | main:744 |   Processed 15/32 in batch 12
2026-08-17 01:24:32,222 | DEBUG    | main:744 |   Processed 20/32 in batch 12
2026-08-17 01:24:32,222 | DEBUG    | main:744 |   Processed 25/32 in batch 12
2026-08-17 01:24:32,223 | DEBUG    | main:744 |   Processed 30/32 in batch 12
2026-08-17 01:24:32,223 | INFO     | main:670 | Processing batch 13/282 (32 profiles)...
2026-08-17 01:25:15,316 | DEBUG    | main:744 |   Processed 5/32 in batch 13
2026-08-17 01:25:15,316 | DEBUG    | main:744 |   Processed 10/32 in batch 13
2026-08-17 01:25:15,316 | DEBUG    | main:744 |   Processed 15/32 in batch 13
2026-08-17 01:25:15,317 | DEBUG    | main:744 |   Processed 20/32 in batch 13
2026-08-17 01:25:15,317 | DEBUG    | main:744 |   Processed 25/32 in batch 13
2026-08-17 01:25:15,317 | DEBUG    | main:744 |   Processed 30/32 in batch 13
2026-08-17 01:25:15,318 | INFO     | main:670 | Processing batch 14/282 (32 profiles)...
2026-08-17 01:25:58,618 | DEBUG    | main:744 |   Processed 5/32 in batch 14
2026-08-17 01:25:58,619 | DEBUG    | main:744 |   Processed 10/32 in batch 14
2026-08-17 01:25:58,619 | DEBUG    | main:744 |   Processed 15/32 in batch 14
2026-08-17 01:25:58,620 | DEBUG    | main:744 |   Processed 20/32 in batch 14
2026-08-17 01:25:58,620 | DEBUG    | main:744 |   Processed 25/32 in batch 14
2026-08-17 01:25:58,620 | DEBUG    | main:744 |   Processed 30/32 in batch 14
2026-08-17 01:25:58,621 | INFO     | main:670 | Processing batch 15/282 (32 profiles)...
2026-08-17 01:26:42,265 | DEBUG    | main:744 |   Processed 5/32 in batch 15
2026-08-17 01:26:42,265 | DEBUG    | main:744 |   Processed 10/32 in batch 15
2026-08-17 01:26:42,266 | DEBUG    | main:744 |   Processed 15/32 in batch 15
2026-08-17 01:26:42,266 | DEBUG    | main:744 |   Processed 20/32 in batch 15
2026-08-17 01:26:42,266 | DEBUG    | main:744 |   Processed 25/32 in batch 15
2026-08-17 01:26:42,267 | DEBUG    | main:744 |   Processed 30/32 in batch 15
